,address.houseNumber,street,city,state,zip,address.zipPlus4,sold_month,building.fullBathroomCount,lot.lotDepthFeet,mls.lotSizeSquareFeet,mls.bedroomCount,mls.floorCount,mls.bathroomCount,building.buildingQualityCode,sale.priorSale.price,prev_sale_price,bedrooms_tagged,living_area_tagged,Bathroom_max_tagged,Bathroom_min_tagged,Bathroom_std_tagged,Bathroom_mean_tagged,Floor_max_tagged,Floor_min_tagged,Floor_std_tagged,Floor_mean_tagged,Walls_max_tagged,Walls_min_tagged,Walls_std_tagged,Walls_mean_tagged,Outview_tagged,Outview_std_tagged,Kitchen_level_tagged,Kitchen_level_std_tagged,general.propertyTypeDetail,sale.lastSale.saleDate,sale.priorSale.saleDate,building.yearBuilt,sale.lastSale.price,building.styleCode,building.roofCover,building.exteriorWalls,building.heatSource,building.constructionType,AC,Fireplace,SolarHeat,EvaporativeCooler,AttachedGarage,SpaorHotTub,Spa,Pool,Garage,hoa_type,hoa_amount
0,3913,3913 york blvd,los angeles,ca,90065,3718,may,2.0,800.0,4381.0,2.0,1.0,2.0,1.0,849657.4412473553,725000.0,2.0,1202.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,5.0,2.0,1.0,4.0,0.0,Single Family,2021,2019,1939,1148570.0597169187,15.0,Composition Shingle,Stucco,Central,Wood,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUD,1200.0
1,3913,3913 york blvd,los angeles,ca,90065,3718,may,2.0,800.0,4381.0,2.0,1.0,2.0,1.0,849657.4412473553,,2.0,1202.0,4.0,2.0,1.0,3.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,4.0,2.0,1.0,4.0,1.0,Single Family,2021,2019,1939,1148570.0597169187,15.0,Composition Shingle,Stucco,Central,Wood,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUD,1200.0
2,4171,4171 division st,los angeles,ca,90065,4205,december,1.0,890.0,5103.0,2.0,1.0,2.0,7.0,882173.9021518576,680000.0,2.0,1250.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,4.0,2.0,1.0,4.0,0.0,Single Family,2020,2015,1947,1027484.7086420835,15.0,Composition Shingle,Stucco,Floor/Wall,Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0
3,4171,4171 division st,los angeles,ca,90065,4205,july,1.0,890.0,5103.0,2.0,1.0,2.0,7.0,883756.8228872578,,2.0,1250.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,3.0,2.0,0.0,4.0,0.0,Single Family,2020,2015,1947,1032157.4079171943,15.0,Composition Shingle,Stucco,Floor/Wall,Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0
4,4234,4234 palmero dr,los angeles,ca,90065,4251,september,2.0,1100.0,8012.0,2.0,1.0,2.0,9.0,1036634.3326060147,844000.0,2.0,1258.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,4.0,2.0,1.0,4.0,1.0,Single Family,2020,2017,1955,1433506.2757216715,15.0,Composition Shingle,Stucco,Central,Wood,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0
5,4234,4234 palmero dr,los angeles,ca,90065,4251,march,2.0,1100.0,8012.0,2.0,1.0,2.0,9.0,1053313.5457751288,,2.0,1258.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,4.0,2.0,1.0,4.0,1.0,Single Family,2020,2017,1955,1448585.319288275,15.0,Composition Shingle,Stucco,Central,Wood,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0
6,4237,4237 caledonia way,los angeles,ca,90065,4711,october,1.0,1000.0,6534.0,2.0,1.0,1.0,9.0,1003671.1987572538,865000.0,2.0,1210.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,4.0,2.0,1.0,5.0,1.0,Single Family,2021,2019,1957,1434316.4452700573,15.0,Gravel/Rock,Stucco,Central,Wood,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0
7,4237,4237 caledonia way,los angeles,ca,90065,4711,december,1.0,1000.0,6534.0,2.0,1.0,1.0,9.0,1002017.3466648773,,2.0,1210.0,5.0,1.0,1.0,3.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,3.0,2.0,0.0,3.0,1.0,Single Family,2021,2019,1957,1423336.2375700409,15.0,Gravel/Rock,Stucco,Central,Wood,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0
8,4613,4613 jessica dr,los angeles,ca,90065,4151,may,2.0,,6036.0,3.0,1.0,2.0,7.0,1087744.1713925647,540000.0,3.0,1206.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,4.0,2.0,1.0,5.0,0.0,Single Family,2021,2016,1925,1343715.4582125116,15.0,Roll Composition,Stucco,Floor/Wall,Wood,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PUD,2200.0
9,4613,4613 jessica dr,los angeles,ca,90065,4151,december,2.0,,6036.0,3.0,1.0,2.0,7.0,1070184.7687351853,,3.0,1206.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,3.0,2.0,0.0,4.0,0.0,Single Family,2021,2016,1925,1302293.2166073646,15.0,Roll Composition,Stucco,Floor/Wall,Wood,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PUD,2200.0
